building_id,level,timeSeconds,cost_wood,cost_metal,cost_electronics,cost_water,cost_fabric,cost_parts,power,workers,foodPerHour,waterPerHour,powerOutput,storageCapacity,bedCapacity,medCapacity,ammoPerMin,fuelPer5Min,noisePerMin,trapDurability,notes
building_housing,1,180,80,0,0,0,20,0,0,0,0,0,0,0,4,0,0,0,0,0,Basic shelter
building_housing,2,420,140,0,0,0,40,0,0,0,0,0,0,0,6,0,0,0,0,0,Improved comfort
building_housing,3,900,220,40,0,0,60,0,0,0,0,0,0,0,8,0,0,0,0,0,Higher quality beds
building_farm,1,300,120,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,Base farm
building_farm,2,600,200,0,0,60,0,0,0,2,18,0,0,0,0,0,0,0,0,0,Weather mitigation upgrades
building_farm,3,1200,320,120,0,0,0,0,0,3,26,0,0,0,0,0,0,0,0,0,Greenhouse synergy
building_water_still,1,240,100,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,Passive water
building_water_still,2,540,160,40,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,Improved condenser
building_purifier,1,480,120,120,40,0,0,0,-2,1,0,28,0,0,0,0,0,0,0,0,Requires power
building_purifier,2,960,180,200,80,0,0,0,-3,1,0,40,0,0,0,0,0,0,0,0,High-output
building_generator,1,240,0,160,40,0,0,20,0,0,0,0,30,0,0,0,0,1,2,0,Consumes fuel; produces noise
building_generator,2,420,0,240,80,0,0,40,0,0,0,0,55,0,0,0,0,2,3,0,More output, more upkeep
building_solar,1,360,120,80,40,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,Daytime output
building_solar,2,720,180,120,80,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,Improved panels
building_battery,1,240,80,120,20,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,Stores 200 energy units
building_battery,2,540,120,180,40,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,Stores 400 energy units
building_storage,1,180,120,40,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,Extra capacity
building_storage,2,360,180,80,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,Bigger warehouse
building_turret,1,480,120,140,80,0,0,40,-2,0,0,0,0,0,0,0,2,0,0,0,Requires ammo and power
building_turret,2,900,160,220,120,0,0,60,-3,0,0,0,0,0,0,0,3,0,0,0,Faster ROF
building_spike_trap,1,120,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,Single-use if not repaired
building_med_bay,1,420,120,80,40,0,40,0,-2,0,0,0,0,0,0,2,0,0,0,0,Treat injuries
building_med_bay,2,840,160,120,80,0,80,0,-3,0,0,0,0,0,0,3,0,0,0,0,Faster recovery
building_workshop,1,360,100,80,40,0,0,40,-1,0,0,0,0,0,0,0,0,0,0,0,Unlocks basic craft
building_workshop,2,720,140,120,80,0,0,80,-2,0,0,0,0,0,0,0,0,0,0,0,Advanced recipes
building_greenhouse,1,600,200,120,0,0,60,0,-1,1,0,0,0,0,0,0,0,0,0,0,Mitigates weather penalties
building_detector_tower,1,540,160,120,60,0,0,40,-2,0,0,0,0,0,0,0,0,0,0,0,Reveals burrowers
building_radio_tower,1,480,160,80,40,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,Calls survivors/events
building_gate,1,240,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reinforceable gate
building_wall,1,120,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Basic wall section